"등록번호","제목","등록일시","바로가기"
"3320","2023년 집수리 아카데미 기초과정(7회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-08-21 15:20:14.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3320"
"3315","2023년 집수리 아카데미 기초과정(8회차) 교육생 모집안내","2023-08-14 13:29:59.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3315"
"3314","2023년 집수리 아카데미 기초과정(7회차) 교육생 모집안내","2023-08-14 13:09:08.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3314"
"3292","2023 옥탑방 주거성능개선 사업 추가 모집 공고","2023-08-08 15:20:09.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3292"
"3174","2023년 옥탑방 주거성능 개선사업 참여자 모집공고","2023-06-01 13:44:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3174"
"3158","2023년 안심 집수리 융자 및 이자지원 자주하는 질문(시민용)","2023-05-26 09:43:57.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3158"
"3149","2022년도 집수리 사업 참여 시공업체 만족도 조사 결과","2023-05-19 11:06:10.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3149"
"3148","2023년 집수리 아카데미 심화과정(2회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-05-18 18:21:50.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3148"
"3136","2023년 집수리 아카데미 기초과정(6회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-05-15 10:52:01.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3136"
"3132","침수방지시설 무료설치사업 안내","2023-05-04 15:56:36.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3132"
"3120","2023년 안심 집수리 보조사업 신청서 및 서식","2023-05-01 09:05:14.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3120"
"3117","2023년 안심 집수리 보조사업 참여자 추가 모집공고","2023-04-28 09:57:20.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3117"
"3116","2023년 옥탑방 주거성능 개선사업 신청서 및 서식","2023-04-27 10:13:47.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3116"
"3115","2023년 옥탑방 주거성능 개선사업 참여자 모집공고","2023-04-27 10:07:47.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3115"
"3109","2023년 집수리 아카데미 심화과정(2회차) 교육생 모집안내","2023-04-25 09:37:33.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3109"
"3108","2023년 집수리 아카데미 기초과정(6회차) 교육생 모집안내","2023-04-25 09:35:03.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3108"
"3091","2023년 집수리 아카데미 기초과정(5회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-04-17 18:02:03.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3091"
"3086","2023년도 집수리업체 신규등록 안내","2023-04-14 09:09:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3086"
"3085","2023년 안심 집수리 융자 및 이자지원 사업신청서","2023-04-14 08:58:25.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3085"
"3075","2023년 안심 집수리 이자지원 사업 참여자 모집공고","2023-04-13 10:42:03.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3075"
"3070","2023년 집수리 아카데미 심화과정(1회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-04-12 13:32:14.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3070"
"3069","2023년 안심 집수리 지원 사업 시공업체 사업 설명회 안내","2023-04-11 16:47:41.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3069"
"3063","2023년 집수리 아카데미 기초과정(4회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-04-06 14:39:14.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3063"
"3045","2023년 안심 집수리 보조사업 신청서 및 서식","2023-03-30 08:16:37.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3045"
"3035","2023년 안심 집수리 보조사업 참여자 모집공고","2023-03-29 10:40:32.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3035"
"3034","2023년 집수리 아카데미 기초과정(5회차) 교육생 모집안내","2023-03-28 09:44:35.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3034"
"3033","2023년 집수리 아카데미 심화과정(1회차) 교육생 모집안내","2023-03-28 09:42:42.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3033"
"3032","2023년 집수리 아카데미 기초과정(4회차) 교육생 모집안내","2023-03-28 09:41:01.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3032"
"3012","2023년 집수리 아카데미 기초과정(3회차) 교육대상자 명단(예비자 포함) 및 안내사항 공지 ","2023-03-10 17:01:09.0","https://jibsuri.seoul.go.kr/board/detail.do?bbsId=notice&nttId=3012"
